id,module_id,content_type,title,description,content,order_index,created_at,updated_at,translations
19e3c13e-110f-4b42-bfed-981d2c59df86,a-decision-compass,exercise,Entscheidungskompass,"Lernen Sie, kongruente Entscheidungen zu treffen","{""duration"":20,""description"":""Diese Übung vermittelt eine strukturierte Methode, um Entscheidungen im Einklang mit Ihren Werten und Ihrer Vision zu treffen."",""materials_needed"":[""Eine aktuelle Entscheidungssituation"",""Ihre Werte-Hierarchie""]}",5,2025-04-17 14:11:50.79689+00,2025-04-17 14:11:50.79689+00,"{""en"":{""title"":""Decision Compass"",""description"":""Learn to make congruent decisions""}}"
54b29d5a-ca3f-4c8c-83c2-e9af20353032,a-intro,intro,Einführung in die Ausrichtung,Überblick über den dritten Schritt der KLARE-Methode,"{""intro_text"":""Willkommen zum Ausrichtungs-Modul der KLARE Methode. Hier lernen Sie, wie Sie Ihre Werte, Ziele und Handlungen in Einklang bringen und eine kohärente Lebensvision entwickeln können."",""key_points"":[""Werte-Hierarchie etablieren"",""Lebensbereiche integrieren"",""Lebensvision entwickeln"",""Kongruente Entscheidungen treffen""]}",1,2025-04-17 14:11:50.79689+00,2025-04-17 14:11:50.79689+00,"{""en"":{""title"":""Introduction to Evolvement"",""description"":""Overview of the third step of the CLEAR method""}}"
3d29b000-6cb4-4944-ae50-5a53c43ca721,a-theory,theory,Die Theorie der Ausrichtung,"Verstehen, wie innere Kohärenz zu Kongruenz führt","{""intro_text"":""Die Theorie hinter dem Ausrichtungs-Konzept umfasst Erkenntnisse aus Werteforschung, Identitätspsychologie und Systemtheorie."",""key_points"":[""Werte als Orientierungsprinzipien"",""Logische Ebenen der Ausrichtung"",""Integration fragmentierter Aspekte"",""Kohärenz als psychologisches Grundbedürfnis""]}",2,2025-04-17 14:11:50.79689+00,2025-04-17 14:11:50.79689+00,"{""en"":{""title"":""The Theory of Evolvement"",""description"":""Understanding how inner coherence leads to congruence""}}"
4f95c8a5-10db-4be4-9a55-d547ce5faed4,a-values-hierarchy,exercise,Werte-Hierarchie entwickeln,Identifizieren und priorisieren Sie Ihre Kernwerte,"{""duration"":25,""description"":""Diese Übung hilft Ihnen, Ihre persönlichen Kernwerte zu identifizieren und in eine klare Hierarchie zu bringen."",""materials_needed"":[""Stift und Papier oder Journal"",""Ein ruhiger, ungestörter Ort""]}",3,2025-04-17 14:11:50.79689+00,2025-04-17 14:11:50.79689+00,"{""en"":{""title"":""Develop Values Hierarchy"",""description"":""Identify and prioritize your core values""}}"
6e5efcb9-b7eb-43df-9a62-bcb349973711,a-vision-board,exercise,Digitales Vision Board,Erstellen Sie eine visuelle Repräsentation Ihrer Lebensvision,"{""duration"":30,""description"":""In dieser Übung erstellen Sie ein digitales Vision Board, das Ihre persönliche Lebensvision visuell darstellt."",""materials_needed"":[""Ihr Smartphone oder Tablet"",""Ruhige, kreative Umgebung""]}",4,2025-04-17 14:11:50.79689+00,2025-04-17 14:11:50.79689+00,"{""en"":{""title"":""Digital Vision Board"",""description"":""Create a visual representation of your life vision""}}"
cacab4bf-807d-4fc4-894a-fea946d80590,k-clarity-journal,exercise,Klarheits-Tagebuch,Tägliche Praxis für anhaltende Klarheit,"{""intro_text"":""Das Klarheits-Tagebuch ist eine kraftvolle tägliche Praxis, die Ihnen hilft, Klarheit nachhaltig in Ihrem Leben zu verankern. In diesem Modul lernen Sie, wie Sie ein solches Tagebuch führen können und erhalten Vorlagen für die tägliche Anwendung."",""key_concepts"":[""Die Kraft täglicher Reflexion"",""Muster und Inkongruenzen erkennen"",""Klarheit als tägliche Praxis""],""duration_minutes"":15}",8,2025-04-12 15:53:05.763458+00,2025-04-12 15:53:05.763458+00,"{""en"":{""title"":""Clarity Journal"",""description"":""Daily practice for sustained clarity""}}"
a7f57102-4d03-45fd-a87d-2fc67096aee0,k-genius-gate,theory,Genius Gate - Kommunikation mit dem Unbewussten,"Lerne Techniken, um durch präzise Fragen zu tiefer Selbsterkenntnis zu gelangen","{""intro_text"":""Das Genius Gate ist eine kraftvolle Methode, um durch gezielte Fragetechniken mit unbewussten Teilen unserer Persönlichkeit in Kontakt zu treten. In diesem Modul lernen Sie, wie Sie durch präzise Fragen verborgene Überzeugungen, Muster und Ressourcen in sich entdecken können."",""key_concepts"":[""Die Macht präziser Fragen"",""Universale Modellierungsprozesse im Detail"",""Meta-Modell-Fragetechniken"",""Praktische Anwendung im Alltag""],""duration_minutes"":15}",4,2025-04-12 15:53:05.763458+00,2025-04-12 15:53:05.763458+00,"{""en"":{""title"":""Genius Gate - Communication with the Unconscious"",""description"":""Learn techniques to achieve deep self-knowledge through precise questions""}}"
d396ee19-94c0-49eb-9e8f-1b9fb5a9455a,k-genius-gate-practice,exercise,Genius Gate in der Praxis,Wende die Genius Gate-Fragetechniken auf konkrete Situationen an,"{""intro_text"":""In dieser Übung werden Sie die Genius Gate-Fragetechniken auf konkrete Situationen aus Ihrem Leben anwenden. Sie werden lernen, wie Sie durch gezieltes Fragen mehr Klarheit gewinnen können."",""duration_minutes"":20}",5,2025-04-12 15:53:05.763458+00,2025-04-12 15:53:05.763458+00,"{""en"":{""title"":""Genius Gate in Practice"",""description"":""Apply Genius Gate questioning techniques to concrete situations""}}"
3ec8be3d-a30c-4268-a187-b5b08d2cba27,k-incongruence-mapping,exercise,Inkongruenzen kartieren,Identifiziere und visualisiere innere Konflikte und Widersprüche,"{""intro_text"":""Inkongruenzen sind innere Widersprüche, die uns Energie kosten und uns daran hindern, unser volles Potenzial zu entfalten. In dieser Übung werden Sie lernen, Ihre persönlichen Inkongruenzen zu identifizieren und zu kartieren, um den Weg für mehr innere Harmonie zu ebnen."",""key_concepts"":[""Die vier Ebenen der Inkongruenz"",""Innere Konflikte identifizieren"",""Werte-Diskrepanzen aufdecken"",""Lösungsansätze entwickeln""],""duration_minutes"":25}",6,2025-04-12 15:53:05.763458+00,2025-04-12 15:53:05.763458+00,"{""en"":{""title"":""Mapping Incongruences"",""description"":""Identify and visualize inner conflicts and contradictions""}}"
c11f1ae5-4963-48aa-8f86-f29b9770beba,k-intro,intro,Einführung in die Klarheit,Überblick über den ersten Schritt der KLARE-Methode,"{""video_url"":"""",""intro_text"":""Willkommen zum ersten Schritt der KLARE-Methode: Klarheit. In diesem Modul werden wir gemeinsam entdecken, warum Klarheit der Grundstein für jede erfolgreiche Veränderung ist und wie Sie durch ehrliche Selbstreflexion einen klaren Blick auf Ihre aktuelle Situation gewinnen können."",""key_points"":[""Warum Klarheit der notwendige erste Schritt ist"",""Wie wir unsere eigene Wahrnehmung verzerren"",""Die drei universalen Modellierungsprozesse: Verzerrung, Generalisierung, Tilgung"",""Wie Sie durch bewusste Wahrnehmung zu einer ehrlichen Standortbestimmung kommen""],""duration_minutes"":5}",1,2025-04-10 09:44:01.085887+00,2025-04-10 09:44:01.085887+00,"{""en"":{""title"":""Introduction to Clarity"",""description"":""Overview of the first step of the CLEAR method""}}"
1a8c268a-6990-4978-8552-ff671f0c6435,k-lifewheel,exercise,Lebensrad-Analyse,Bestandsaufnahme Ihrer aktuellen Lebenssituation,"{""areas"":[""Gesundheit"",""Karriere"",""Finanzen"",""Persönliches Wachstum"",""Freizeit"",""Familie"",""Beziehungen"",""Spiritualität""],""intro_text"":""Das Lebensrad ist ein kraftvolles Werkzeug zur Standortbestimmung. In dieser Übung werden Sie acht zentrale Lebensbereiche bewerten und einen klaren Überblick über Ihre aktuelle Lebenssituation gewinnen."",""duration_minutes"":15,""update_lifewheel"":true}",3,2025-04-10 09:44:01.085887+00,2025-04-10 09:44:01.085887+00,"{""en"":{""title"":""Life Wheel Analysis"",""description"":""Assessment of your current life situation""}}"
c2ec9513-5ce3-4a9d-9b4e-71a268220d9b,k-metamodel-practice,exercise,Metamodell in der Praxis,Präzise Sprache für mehr Klarheit im Alltag,"{""intro_text"":""Das Meta-Modell der Sprache ist ein Werkzeug, um Ungenauigkeiten, Verzerrungen und Auslassungen in unserer Kommunikation zu erkennen und aufzulösen. In dieser Übung werden Sie lernen, wie Sie durch präzisere Sprache zu mehr Klarheit in Ihrem Denken und Handeln gelangen können."",""key_concepts"":[""Metamodell-Verletzungen erkennen"",""Präzisionsfragen stellen"",""Sprache als Spiegel des Denkens nutzen""],""duration_minutes"":20}",7,2025-04-12 15:53:05.763458+00,2025-04-12 15:53:05.763458+00,"{""en"":{""title"":""Metamodel in Practice"",""description"":""Precise language for more clarity in daily life""}}"
8c662f68-a5e6-433c-b93e-c66deb23f6d4,k-quiz,quiz,Klarheits-Quiz,Testen Sie Ihr Verständnis des Klarheits-Konzepts,"{""intro_text"":""Dieses kurze Quiz hilft Ihnen, Ihr Verständnis der Konzepte rund um Klarheit zu überprüfen. Nutzen Sie es als Gelegenheit zum Lernen - es geht nicht um richtig oder falsch, sondern um ein tieferes Verständnis."",""questions_count"":5,""duration_minutes"":5}",7,2025-04-10 09:44:01.085887+00,2025-04-10 09:44:01.085887+00,"{""en"":{""title"":""Clarity Quiz"",""description"":""Test your understanding of the clarity concept""}}"
4a5c228f-79c6-4e24-ae24-6d2625ec5123,k-reality-check,exercise,Reality-Check: Selbsttäuschungen überwinden,Werkzeuge zur Überprüfung eigener Annahmen und zum konstruktiven Umgang mit Feedback,"{""intro_text"":""Selbsttäuschungen sind oft subtil und schwer zu erkennen - gerade weil sie Teil unserer eigenen Wahrnehmung sind. Der Reality-Check ist ein Prozess, der Ihnen hilft, Ihre Annahmen zu überprüfen und Feedback konstruktiv zu nutzen, um zu mehr Klarheit zu gelangen."",""key_concepts"":[""Die Psychologie der Selbsttäuschung"",""Kognitive Verzerrungen erkennen"",""Feedback als Geschenk annehmen"",""Die vier Säulen des Reality-Checks""],""duration_minutes"":20}",9,2025-04-12 15:53:05.763458+00,2025-04-12 15:53:05.763458+00,"{""en"":{""title"":""Reality Check: Overcoming Self-Deceptions"",""description"":""Tools for examining your own assumptions and constructive handling of feedback""}}"
0dd0df9e-6b1f-47c6-a88d-804eac35ce50,k-theory,theory,Die Theorie hinter Klarheit,"Verstehen, warum Klarheit der erste Schritt sein muss","{""intro_text"":""In diesem Modul tauchen wir tiefer in die theoretischen Grundlagen der Klarheit ein und untersuchen, wie unser Gehirn die Welt filtert und modelliert. Dieses Verständnis ist wesentlich, um die eigenen Wahrnehmungsverzerrungen zu erkennen."",""key_concepts"":[""Kausaler Modellierungsprozess"",""Die Architektur eines Weltbildes"",""Das Meta-Modell der Sprache"",""Wie wir Klarheit durch präzise Kommunikation gewinnen""],""duration_minutes"":10}",2,2025-04-10 09:44:01.085887+00,2025-04-10 09:44:01.085887+00,"{""en"":{""title"":""The Theory Behind Clarity"",""description"":""Understanding why clarity must be the first step""}}"
