id,module_content_id,title,instructions,step_type,options,order_index,created_at,updated_at,translations
e9a9cfd3-20c1-4e30-9b20-700a1a26ae6f,19e3c13e-110f-4b42-bfed-981d2c59df86,Einführung zum Entscheidungskompass,"Der Entscheidungskompass ist ein strukturierter Ansatz, um Entscheidungen im Einklang mit Ihren Werten und Ihrer Vision zu treffen. Er integriert rationale Analyse mit intuitiver Weisheit und schafft so kongruente Entscheidungen.

Viele Menschen treffen Entscheidungen entweder rein rational (was oft emotionale Aspekte ignoriert) oder rein emotional (was manchmal langfristige Konsequenzen übersieht). Der Entscheidungskompass verbindet beide Ansätze.

In dieser Übung lernen Sie, wie Sie diesen Kompass für Ihre eigenen Entscheidungen nutzen können - von alltäglichen Wahlmöglichkeiten bis hin zu lebensverändernden Entscheidungen.",introduction,"{""next_button_text"":""Beginnen""}",1,2025-04-17 14:11:50.79689+00,2025-04-17 14:11:50.79689+00,"{""en"":{""title"":""Decision Compass Step"",""instructions"":""Continue with the decision compass process. Use the systematic approach to make aligned choices.""}}"
3dacd0b4-9c3b-42e7-a84c-b7b4175743ae,19e3c13e-110f-4b42-bfed-981d2c59df86,Entscheidungssituation definieren,"Denken Sie an eine aktuelle Entscheidung, die Sie treffen müssen oder möchten. Dies kann eine kleine Alltagsentscheidung oder eine größere Lebensentscheidung sein.

Beschreiben Sie die Entscheidungssituation so klar wie möglich:
- Um welche Entscheidung geht es genau?
- Welche Optionen stehen zur Auswahl?
- Bis wann muss die Entscheidung getroffen werden?
- Wer ist von dieser Entscheidung betroffen?

Versuchen Sie, die Situation ohne Verzerrung oder voreilige Schlussfolgerungen zu beschreiben. Fokussieren Sie sich zunächst nur auf die Fakten der Situation.",reflection,"{""min_length"":50,""next_button_text"":""Weiter"",""reflection_prompt"":""Beschreiben Sie Ihre aktuelle Entscheidungssituation:""}",2,2025-04-17 14:11:50.79689+00,2025-04-17 14:11:50.79689+00,"{""en"":{""title"":""Define the Decision"",""instructions"":""Clearly articulate the decision you need to make. What exactly are you trying to decide? The clearer your question, the better your answer will be.""}}"
24fa7e29-1299-4bfa-afae-a44a92f7b45f,19e3c13e-110f-4b42-bfed-981d2c59df86,Werte-Prüfung,"Jetzt werden Sie Ihre Entscheidungsoptionen anhand Ihrer Kernwerte überprüfen. 

Rufen Sie sich Ihre Top-5-Werte in Erinnerung (die Sie in der Werte-Hierarchie-Übung definiert haben). Für jede Option in Ihrer Entscheidungssituation, bewerten Sie:

1. Inwiefern unterstützt oder verletzt diese Option jeden Ihrer Kernwerte?
2. Gibt es Wertekonflikte zwischen verschiedenen Optionen?
3. Welche Option ist am besten mit Ihrer gesamten Wertehierarchie vereinbar?

Denken Sie daran: Es geht nicht nur darum, einzelne Werte zu erfüllen, sondern um die Gesamtausrichtung mit Ihrer Wertehierarchie.",reflection,"{""min_length"":100,""next_button_text"":""Weiter"",""reflection_prompt"":""Analysieren Sie Ihre Entscheidungsoptionen im Hinblick auf Ihre Kernwerte:""}",3,2025-04-17 14:11:50.79689+00,2025-04-17 14:11:50.79689+00,"{""en"":{""title"":""Values Check"",""instructions"":""Review your core values. How do the different options align with what truly matters to you? Values-based decisions lead to greater satisfaction.""}}"
dd1b9184-b86e-4651-8509-e3795e66321f,19e3c13e-110f-4b42-bfed-981d2c59df86,Visions-Prüfung,"Nun werden Sie Ihre Entscheidungsoptionen im Kontext Ihrer größeren Lebensvision betrachten.

Denken Sie an Ihr Vision Board und Ihre langfristigen Ziele. Für jede Option in Ihrer Entscheidungssituation, reflektieren Sie:

1. Inwiefern bringt Sie diese Option Ihrer Vision näher oder entfernt Sie davon?
2. Wie passt diese Option in das Gesamtbild Ihres gewünschten Lebens?
3. Würde Ihr zukünftiges Selbst diese Entscheidung gutheißen?

Es geht darum, die kurzfristigen Konsequenzen einer Entscheidung mit Ihren langfristigen Aspirationen in Einklang zu bringen.",reflection,"{""min_length"":100,""next_button_text"":""Weiter"",""reflection_prompt"":""Analysieren Sie Ihre Entscheidungsoptionen im Hinblick auf Ihre Lebensvision:""}",4,2025-04-17 14:11:50.79689+00,2025-04-17 14:11:50.79689+00,"{""en"":{""title"":""Decision Compass Step"",""instructions"":""Continue with the decision compass process. Use the systematic approach to make aligned choices.""}}"
61ca436c-96b8-47d2-ba1b-e00cfff721af,19e3c13e-110f-4b42-bfed-981d2c59df86,Körperweisheit einbeziehen,"Unser Körper verfügt über eine eigene Form von Intelligenz, die oft unbewusste Muster und Informationen integriert, die unserem bewussten Denken nicht zugänglich sind.

Für jede Ihrer Entscheidungsoptionen, führen Sie folgende Übung durch:

1. Schließen Sie die Augen und atmen Sie einige Male tief durch
2. Stellen Sie sich vor, Sie hätten sich bereits für Option A entschieden
3. Beobachten Sie aufmerksam, wie sich Ihr Körper dabei anfühlt:
   - Gibt es Anspannung oder Entspannung?
   - Fühlt sich Ihr Atem frei oder eingeschränkt an?
   - Spüren Sie Weite oder Enge in Ihrer Brust?
   - Gibt es ein Gefühl von Leichtigkeit oder Schwere?
4. Wiederholen Sie den Prozess für jede Option

Diese körperlichen Reaktionen können wertvolle Hinweise auf Ihre tiefere Weisheit geben.",reflection,"{""min_length"":100,""next_button_text"":""Weiter"",""reflection_prompt"":""Beschreiben Sie Ihre körperlichen Reaktionen auf die verschiedenen Optionen:""}",5,2025-04-17 14:11:50.79689+00,2025-04-17 14:11:50.79689+00,"{""en"":{""title"":""Decision Compass Step"",""instructions"":""Continue with the decision compass process. Use the systematic approach to make aligned choices.""}}"
dece0f70-441e-4b78-a7f7-369ad70019d5,19e3c13e-110f-4b42-bfed-981d2c59df86,Integration und Entscheidung,"Nun ist es Zeit, alle Aspekte zu integrieren und zu einer kongruenten Entscheidung zu kommen.

Betrachten Sie:
- Was haben Sie aus der Werte-Prüfung gelernt?
- Was hat die Visions-Prüfung ergeben?
- Was hat Ihre Körperweisheit Ihnen mitgeteilt?

Manchmal stimmen alle drei Perspektiven überein, was die Entscheidung klar macht. Oft gibt es jedoch scheinbare Widersprüche, die eine tiefere Integration erfordern.

Basierend auf allen drei Perspektiven, welche Entscheidung erscheint Ihnen am kongruentesten - also am besten mit Ihren Werten, Ihrer Vision und Ihrer tieferen Weisheit übereinstimmend?",reflection,"{""min_length"":100,""next_button_text"":""Weiter"",""reflection_prompt"":""Beschreiben Sie Ihre integrierte Entscheidung und die Gründe dafür:""}",6,2025-04-17 14:11:50.79689+00,2025-04-17 14:11:50.79689+00,"{""en"":{""title"":""Integration and Decision"",""instructions"":""Integrate all the information - values, consequences, and intuition. Make your decision based on this comprehensive understanding.""}}"
413f915d-015f-4dfc-9814-59fd2ce26471,19e3c13e-110f-4b42-bfed-981d2c59df86,Umsetzungsplanung,"Eine Entscheidung ist nur so gut wie ihre Umsetzung. Planen Sie nun die konkreten nächsten Schritte, um Ihre Entscheidung in die Tat umzusetzen.

Definieren Sie:
1. Welche konkreten Maßnahmen werden Sie ergreifen?
2. Bis wann werden Sie diese Maßnahmen umsetzen?
3. Welche möglichen Hindernisse könnten auftreten und wie werden Sie damit umgehen?
4. Wer kann Sie bei der Umsetzung unterstützen?
5. Wie werden Sie den Fortschritt überprüfen?

Je spezifischer Ihr Plan ist, desto wahrscheinlicher ist es, dass Sie Ihre Entscheidung erfolgreich umsetzen werden.",reflection,"{""min_length"":100,""next_button_text"":""Weiter"",""reflection_prompt"":""Beschreiben Sie Ihren Umsetzungsplan:""}",7,2025-04-17 14:11:50.79689+00,2025-04-17 14:11:50.79689+00,"{""en"":{""title"":""Action Planning"",""instructions"":""Create a concrete action plan for implementing your decision. What are the first steps? When will you take them?""}}"
7bc6c95a-5aa9-43ea-8eb8-16d49e766d4c,19e3c13e-110f-4b42-bfed-981d2c59df86,Reflexion und Abschluss,"Herzlichen Glückwunsch! Sie haben den Entscheidungskompass erfolgreich angewendet und eine kongruente Entscheidung getroffen.

Nehmen Sie sich einen Moment Zeit, um über den Prozess zu reflektieren:

- Was hat Sie überrascht am Entscheidungskompass-Prozess?
- Welcher Aspekt (Werte, Vision, Körperweisheit) war am einflussreichsten für Ihre Entscheidung?
- Wie fühlt sich diese Entscheidung im Vergleich zu früheren Entscheidungen an?
- Wie werden Sie den Entscheidungskompass in Zukunft nutzen?

Der Entscheidungskompass ist ein Werkzeug, das mit der Übung immer intuitiver wird. Mit der Zeit werden Sie in der Lage sein, diesen Prozess schneller und müheloser durchzuführen, was zu einem Leben führt, das durchgängig mit Ihren tiefsten Werten und Ihrer Vision übereinstimmt.",reflection,"{""min_length"":50,""next_button_text"":""Abschließen"",""reflection_prompt"":""Teilen Sie Ihre abschließenden Gedanken zu dieser Übung:""}",8,2025-04-17 14:11:50.79689+00,2025-04-17 14:11:50.79689+00,"{""en"":{""title"":""Decision Compass Step"",""instructions"":""Continue with the decision compass process. Use the systematic approach to make aligned choices.""}}"
c3e1b8ed-4164-4873-8df5-3b26035d385f,1a8c268a-6990-4978-8552-ff671f0c6435,Einführung zum Lebensrad,"Das Lebensrad ist ein leistungsstarkes Werkzeug zur Selbstreflexion. Es hilft Ihnen, einen klaren Überblick über verschiedene Lebensbereiche zu gewinnen und Ungleichgewichte zu identifizieren.

In dieser Übung werden Sie acht zentrale Lebensbereiche auf einer Skala von 1 (sehr unzufrieden) bis 10 (vollkommen zufrieden) bewerten. Nehmen Sie sich Zeit für diese Bewertung und seien Sie ehrlich zu sich selbst. Es gibt keine richtigen oder falschen Antworten - es geht nur um Ihre persönliche Einschätzung Ihrer aktuellen Situation.

Ihre Bewertungen werden automatisch in Ihr Lebensrad übertragen, das Sie später jederzeit in der App einsehen und aktualisieren können.",reflection,{},1,2025-04-10 09:44:01.085887+00,2025-04-10 09:44:01.085887+00,"{""en"":{""title"":""Life Wheel Step"",""instructions"":""Continue with your life wheel analysis. Follow the guidance to gain clarity about your current life situation.""}}"
431e2612-b347-4c0b-9b2e-7c9a72144abe,1a8c268a-6990-4978-8552-ff671f0c6435,Gesundheit bewerten,"Wie zufrieden sind Sie mit Ihrem körperlichen und mentalen Wohlbefinden? Berücksichtigen Sie dabei:

- Ernährung und Essgewohnheiten
- Bewegung und Sport
- Schlafqualität und -dauer
- Stresslevel und Stressbewältigung
- Energielevel im Alltag
- Umgang mit Gesundheitsproblemen

Bewerten Sie Ihren aktuellen Zustand auf einer Skala von 1-10.",input,"{""step"":1,""max_value"":10,""min_value"":1,""input_type"":""slider"",""default_value"":5,""lifewheel_area"":""health"",""target_question"":""Welchen Wert würden Sie gerne erreichen?""}",2,2025-04-10 09:44:01.085887+00,2025-04-10 09:44:01.085887+00,"{""en"":{""title"":""Life Wheel Step"",""instructions"":""Continue with your life wheel analysis. Follow the guidance to gain clarity about your current life situation.""}}"
